name,category,min_players,max_players,description
6 nimmt!,Card Game,2,10,"In 6 nimmt!, a.k.a. Category 5 and many other names, you want to score as few points as possible.&#10;&#10;To play the game, you shuffle the 104 number cards, lay out four cards face-up to start the four rows, then deal ten cards to each player. Each turn, players simultaneously choose and reveal a card from their hand, then add the cards to the rows, with cards being placed in ascending order based on their number; specifically, each card is placed in the row that ends with the highest number that's below the card's number. When the sixth card is placed in a row, the owner of that card claims the other five cards and the sixth card becomes the first card in a new row.&#10;&#10;In addition to a number from 1 to 104, each card has a point value. After finishing ten rounds, players tally their score and see whether the game ends. (Category 5 ends when a player has a score greater than 74, for example, while 6 nimmt! ends when someone tops 66.) When this happens, the player with the fewest points wins!&#10;&#10;6 nimmt! works with 2-10 players, and the dynamics of gameplay change the more players that you have. One variant for the game has you use 34 cards, 44 cards, 54 cards, etc. (instead of all 104 cards) when you have three, four, five, etc. number of players. This change allows you to know which cards are in play, thereby allowing you to track which cards have been played and (theoretically) make better choices as to which card to play when.&#10;&#10;"
A Dog's Life,Adventure,2,6,"The object of the game is for a dog to locate four bones and carry them safely back to his home.   Bones tend to be found in trash cans and are sometimes given as rewards for successfully delivering newspapers to various establishments.  Players must also pay close attention to their bellies as their hunger level drops with each passing round.  So, finding food is also a top priority.&#10;&#10;Life on the streets is tough as not only must players search for food and bones, but they also must fend off rival dogs and that pesky dog catcher.&#10;&#10;"
Abenteuer im Wichtelwald,Mythology,2,4,"Despite its fairy tale theme, this is a fairly abstract game for 2-4 players Ages 8 and up. Each player tries to move their 6 gnomes from one side of the board to the other.&#10;&#10;For setup, the trees are placed on the game board, and the gnomes are placed on their starting spaces.&#10;&#10;On their turn, each player first moves a tree 1 space, then moves a gnome. Gnomes move in a straight line (orthogonally or diagonally) across empty spaces until they encounter an obstacle - a tree or a gnome. The gnome then does a 90 degree turn and keeps moving. If the gnome reaches its target space, and there is another gnome on it, the active player moves that gnome to another space on the board. The first player to move all their gnomes to their target space wins the game.&#10;&#10;&#10;"
Ace of Aces: Handy Rotary Series,Aviation / Flight,2,2,"Ace of Aces is an innovative 1-on-1 combat game that simulates a dogfight between WWI aircraft. Each player has a book with pictures of what they see out the cockpit of their airplane. Each player selects a maneuver (bank left, barrel roll, etc.) and tells their opponent a page number to turn to. This new page, when cross indexed with the maneuver made, gives the page number that shows the results of the chosen maneuver. The object of the game is to get your opponent in your sights and shoot them down.&#10;&#10;There are advanced rules for fuel consumption as well as a campaign game.&#10;&#10;"
Ace of Aces: Powerhouse Series,Aviation / Flight,2,2,The Powerhouse Series book set pits the Fokker DVII of Georg von Hantlemann against the SPAD XIII of Eddie Rickenbacker. The game provides statistics for several other WWI fighter planes that may be played using this set.&#10;&#10;The Powerhouse books include a different variety of maneuvers than was used in the Handy Rotary books making for interesting match-ups between the two sets.&#10;&#10;
Adam & Eva,Card Game,2,2,"A description of the game from Ravensburger:&#10;&#10;In this paradise of a card game, two players take part in a very special competition: who will pick the nicest fruits from the forbidden Tree of Knowledge? It sounds easier than it is, since your opponent decides what happens to your cards.&#10;&#10;Belongs to the Ravensburger Fun For 2 Series.&#10;&#10;"
Advanced Civilization,Ancient,2,8,"This is an expansion for Civilization. Included are more civilization advancements (both quantity and type), which give the players new options for advancement, as well as a slightly restructured commodity trading round, which has new resources and disasters to be traded. The most significant aspect of the game is a restructuring of the advancement/victory conditions, which removes the limits on advancement cards.  Some claim this makes the strategies more homogenous, while others claim the reverse is true.&#10;&#10;The use of the word &quot;Advanced&quot; to describe this expansion is somewhat misleading.  The original Civilization game was already time-consuming and moderately difficult, and the expansion is a reworking of the original game, rather than an additive expansion.  Some rules simplify and make the game easier, while other rules like the expanded technology tree are more complex.&#10;&#10;"
Agricola,Animals,1,5,"Description from BoardgameNews&#10;&#10;In Agricola, you're a farmer in a wooden shack with your spouse and little else. On a turn, you get to take only two actions, one for you and one for the spouse, from all the possibilities you'll find on a farm: collecting clay, wood, or stone; building fences; and so on. You might think about having kids in order to get more work accomplished, but first you need to expand your house. And what are you going to feed all the little rugrats?&#10;&#10;The game supports many levels of complexity, mainly through the use (or non-use) of two of its main types of cards, Minor Improvements and Occupations. In the beginner's version (called the Family Variant in the U.S. release), these cards are not used at all. For advanced play, the U.S. release includes three levels of both types of cards; Basic (E-deck), Interactive (I-deck), and Complex (K-deck), and the rulebook encourages players to experiment with the various decks and mixtures thereof. Aftermarket decks such as the Z-Deck and the L-Deck also exist.&#10;&#10;Agricola is a turn-based game. There are 14 game rounds occurring in 6 stages, with a Harvest at the end of each stage (after Rounds 4, 7, 9, 11, 13, and 14).&#10;Each player starts with two playing tokens (farmer and spouse) and thus can take two turns, or actions, per round. There are multiple options, and while the game progresses, you'll have more and more: first thing in a round, a new action card is flipped over.&#10;Problem: Each action can be taken by only one player each round, so it's important to do some things with high preference.&#10;Each player also starts with a hand of 7 Occupation cards (of more than 160 total) and 7 Minor Improvement cards (of more than 140 total) that he/she may use during the game if they fit in his/her strategy. Speaking of which, there are countless strategies, some depending on your card hand. Sometimes it's a good choice to stay on course, and sometimes it is better to react to your opponents' actions.&#10;&#10;"
Aladdin's Dragons,Arabian,3,5,"After the immediate response to Richard Breese's Keydom at Essen 1999, Hans im Gl&#195;&#188;ck Verlags-GmbH contracted to take the basic game idea and produce a version of the game.  Aladdin's Dragons, or Morgenland in the original German, is the product of their cooperation.&#10;&#10;The game features players putting numbered bidding chips face-down onto the board sequentially.  After the players have placed all of their chips, then each of the areas is resolved.  The bottom part of the board is where players attempt to gather treasure tokens, which is the overall currency of the game.  The middle part of the board features a number of special actions, which help the players cast spells, trade in their resource tokens, or block other players' actions.  The top part of the board is where players use treasure tokens to purchase artifacts, and the player who can collect the most artifacts by the end of the game will be the victor.&#10;&#10;Won Games Magazine Game of the Year award in 2001.&#10;&#10;Re-implements:&#10;&#10;    Keydom&#10;&#10;&#10;&#10;&#10;Re-implemented by:&#10;&#10;    Aladdin's Dragons (card game version by same name as board game)&#10;&#10;&#10;&#10;&#10;Microbadges:    (Buy One)&#10;&#10;      Aladdin's Dragons fan&#10;&#10;&#10;&#10;&#10;"
Alexandros,Abstract Strategy,2,4,"Alexandros is an abstract strategy by Leo Colovini, thematically inspired by the military expansion of Alexander the Great. It includes the &quot;triggered scoring for all&quot; mechanism, which can be considered a trademark of the designer, implemented in many of his games. It forces players to evaluate their actions in relation to what other players can earn.&#10;&#10;The goal of the game is to have more points than other players when the trail/border markers are depleted or someone scores 100 points first.&#10;&#10;Gameplay is driven by cards, used for all actions. Clockwise, players are first obliged to move the figure representing Alexandros across a triangular grid. They do this by playing cards with symbols matching those on destination spots. This is the core concept of the game - when the figure of Alexandros is moved, it leaves a trail of borders behind it. Soon, these borders begin to form provinces composed of triangular spaces: either with symbols or empty.&#10;&#10;After moving Alexandros, players either build their hand of cards by drawing them, take over provinces or trigger scorings if the situation on the board suits them.&#10;&#10;Players can occupy provinces by playing cards from their hand and placing tokens representing their leaders on spaces with corresponding symbols. When a scoring is triggered, provinces earn points equal to the number of empty spaces in them. Players can take over empty provinces and/or those occupied by other players. Each player has only four generals and placing them costs valuable cards - the game requires careful hand management and point-to-point movement - to create worthy provinces for scoring.&#10;&#10;Awarded title of &quot;Best Family Strategy Game&quot; by Games Magazine in 2005.&#10;&#10;"
