name,category,min_players,max_players,description
Quarriors!,Dice,2,4,"Players take on the roles of Quarriors - mighty mystical warriors who have the power to capture dangerous quarry from the untamed Wilds! They must conjure the mysterious powers of Quiddity, cast powerful spells, and summon their creatures to battle if they hope to overcome rivals and earn their rightful place as the Champion!&#10;&#10;Quarriors has the frenetic excitement of a dice battle game, with an added &lsquo;deckbuilding&rsquo; twist: players customize their dice pools during the game using resources generated by their rolls.&#10;&#10;Quarriors takes the best of deckbuilding games without the tedium of shuffling.  Take a typical deckbuilding game, add the speed and fun of dice and in 60 minutes you&rsquo;re on your second or third game trying unique strategies against your opponents.&#10;&#10;Alternate Description of Quarriors&#10;&#10;In Quarriors, each player plays as a Quarrior competing for Glory in the eyes of Quiana, the Empress of Quaridia. Each player starts with an identical set of 12 dice in their dice bag. At the start of the game, Creature and Spell dice (Quarry) are dealt at random to form &quot;the Wilds&quot; in the center of the table. As play progresses, players roll their dice to attempt to summon Creatures, cast Spells, and harness the magical power of Quiddity (the in-game resource) to capture Quarry from the Wilds to add to their repertoire and into their dice bag. Players draw and roll 6 dice a turn from their bag, making that controlling bag composition is key to victory.&#10;&#10;Quarriors is a fast-paced game where players must strategically balance their choices each turn. Do I use my Quiddity to summon Creatures in the hopes of scoring Glory or should I spend it all to capture more powerful Quarry from the Wilds? Players must outmaneuver their opponent's through strategic Spell use, the acquisition of powerful Quarry, and ultimately, by striking down opponent's Creature in combat. If your Creatures survive until your next turn, you will score Glory points and move closer to victory!&#10;&#10;"
Strange Synergy,Comic Book / Strip,2,4,"From the publisher's blurb:&#10;&#10;Strange Synergy is built around 100 different Power Cards... superpowers, mutations, skills, gadgets. Each warrior starts with three different powers. You choose the combination! Can you create the unbeatable team? Can you win against superior powers?&#10;&#10;No two games are the same. How many ways can you make four different teams of three warriors, out of 100 powers? The mind boggles, and the fun never ends!&#10;&#10;Boxed game with 112 cards, rules, warrior stand-ups and bases, game map, counters, and one die.&#10;&#10;"
Haste Worte?,Party Game,3,8,"Haste Worte is a party/word game from Wolfgang Kramer and Michael Kiesling.  Each turn  players have 30 seconds to write as many answers for the category or question that round.  After 30 seconds expire, players must bid on how many unique answers they have on their list.  Bids are revealed simultaneously with players having the lowest bids reading their answers first.  Any answer already named gets crossed of a players list before they get a chance to take their turn.  Players score points equal to their bids if they make it and the first one around the board wins.&#10;&#10;In 2003 Spielzeit published a version of the game without a board.  The board is built using the backs of some of the cards.&#10;&#10;"
Immer oben auf!,Animals,3,5,A children's game that appears to involve stacking cubes which show pictures of animals. Hence the picture on the box...&#10;&#10;
Vino,Economic,3,5,"Players compete with each other to own vineyards in Italy.  Each vineyard may be used to grow certain types of grapes, and players make money by selling grapes on the open market.  Through careful manipulation of the market and the domination of vineyards in each province, the player with the most vineyards wins the game.&#10;&#10;1st Place 1994 Hippodice Spieleautorenwettbewerb (as Das Spiel der Weinberge).&#10;&#10;"
Give Me the Brain!,Card Game,3,8,"Working in fast-food is hell.  All the employees are zombies, and you can't find a single brain amongst them.  Except for the brain part - there is, in fact, one brain - that's the premise of Give Me the Brain!, a card game in which players take on the roles of zombies in a fast-food restaurant in hell.  They all have to complete a number of tasks before leaving work, and the work keeps piling on.  Even worse, some of the tasks require basic intelligence and there's only one brain to go around.&#10;&#10;"
Frank's Zoo,Animals,3,7,"This game is played in several hands. In each hand the players try to be the first to get rid of all of their cards. Their scores are based on how early in the hand they get rid of all their cards. There are two ways to play: you can play where all hands are played the same, or you can play the game with changing partners.&#10;&#10;This is a climbing game, similar to The Great Dalmuti, Tichu, and others.  The difference here is that the ranks are different kinds of colorfully illustrated animals. Each is scared away only by certain other animals.  Players set out one to whatever cards of a particular variety, and someone can play onto that pile only if they have more of that animal or an equal number of some animal that can scare it away.  Players get points by playing all their cards, collecting lions, and collecting a hedgehog.&#10;&#10;Home Page: http://doris-frank.de/Games4.html&#10;&#10;"
King's Breakfast,Card Game,3,5,"The king has invited you to his castle for breakfast.  During the feast the players will take portions of various dishes from the table to eat.  As a good host, the king will serve all his guests before taking any portion from each course.  From time to time, his pet dragon Emerald will steal some food from his master.  Of course, it is rude for a player to have more of a dish than the king, so players must be careful not to be too greedy.  In the end, the winner is the player who gets the most to eat of the things the king likes best without eating more than the king eats of any dish.&#10;&#10;Online Play&#10;&#10;&#10;     BrettspielWelt (real-time)&#10;&#10;&#10;"
Balanx,Abstract Strategy,2,2,"Balanx is a 2 player balancing game by Kris Burm. The game has a low plastic see-saw grid with spaced grooves. Players have 10 heavy glass marbles in black and white, the same as found in Abalone, and 2 small steel ball bearings.&#10;Players start with their marbles on the opposite side and corner of the grid and move them towards themselves forwards and sideways, but not diagonally. The trick is that before a player moves, they hold the balancing board down on their side, making the marbles roll along the grooves and changing the set up entirely. In addition, the steel balls run in side grooves, affecting the balance of the board and making the game very challenging.&#10;The winner is the first to get their balls across to their corner, but if any balls are left in the opponents corner to block a finish, you lose. &#10;Rules in English, French, Dutch and Swedish.&#10;&#10;Was awarded the title &quot;Best Abstract Strategy Game&quot; by Games Magazine in 1997.&#10;&#10;"
Time's Up!,Humor,4,18,"Time's Up! is a charades-based party game for teams of two or more players (and is best with teams of two). Before the game begins, each player looks at several cards featuring famous historical or fictional characters and chooses some of them. Each player's cards are shuffled to form a deck, and this deck of famous names is used for each of the game's three rounds.&#10;&#10;In each round, team members take turns trying to get their teammates to guess as many names as possible in 30 seconds. In round 1, almost any kind of clue is allowed, and the cluegiver cannot pass on a card. In round 2, no more than one word can be used in each clue (but unlimited sounds and gestures are permitted); the cluegiver can pass on any card he likes, and the teammates can give only a single answer. In round 3, the cluegiver can use no words at all and can pass as often as he likes; again, teammates are allowed only a single guess. Give good physical clues in round 1, and they'll pay dividends down the road when you need to keep your mouth shut and gesture like a maniac before time's up!&#10;&#10;Time's Up! is based on the public domain game known as Celebrities.&#10;&#10;"
Farfalia,Card Game,2,5,From the publisher's website:&#10;&#10;Research into natural science requires careful planning - especially when only one specimen can be taken for the collection. And how much better if it is a species of Farfalia! A trick taking game for alert naturalists.&#10;&#10;
Relic Runners,Exploration,2,5,"In Relic Runners, each player takes on the role of a character keen to exploit and acquire relics that have been unearthed in a long lost part of the jungle. Each would-be archaeologist has a colorful past &mdash; retired university professor, former army captain, etc. &mdash; and wants to be the first to get their hands on the precious loot to earn the most victory points.&#10;&#10;Players must navigate a series of paths in order to visit temples. The archaeologists are restricted in their movement by their access to rations, but thankfully they can place markers on paths to allow them to travel for free in future turns. The players also have a toolkit that can be upgraded in three particular ways to break the rules in some way or offer them an advantage as they move around.&#10;&#10;Each time a player visits a temple, he takes a token. Initially the temples offer up victory points or some form of in-game bonus. When the final token is taken, a relic is placed there to be collected. The players earn large victory points for collecting relics of different types (set collection) and players can also earn bonus points for creating long routes and traveling along these to collect relics.&#10;&#10;"
Medina,Abstract Strategy,3,4,"The year is 1822.  After years of decay, it is time to rebuild the medina, located at the foot of the Atlas mountains. The architects and engineers of the city work to erect large and beautiful palaces and to renovate the damaged city wall. As the reconstruction of the old city progresses, the city's inhabitants flock through the alleys, and the contours of the new city gradually reappear!&#10;&#10;Each turn, players must place two pieces on the board, either augmenting an existing building or starting a new building if the current building of that color is finished. Each player will claim one building of each of the four colors by the end of the game, giving one point per wooden piece attached to the building.&#10;&#10;Also, if you own the largest building of a particular color you get a bonus for that color. Finally, there are bonuses for the player who most recently connected one of their buildings to the walls, which grow from the four corners of the city.&#10;&#10;Medina is a tense game by the great designer Stefan Dorra.&#10;&#10;In 2014, Medina was re-released with new components, as well as changed and 2-player rules. See Medina (second edition).&#10;&#10;"
Acquire,Economic,3,6,"This Sid Sackson classic has taken many different forms over the years depending on the publisher.  Each player strategically invests in businesses, trying to retain a majority of stock.  As the businesses grow with tile placements, they also start merging, giving the majority stockholders of the acquired business sizable bonuses, which can then be used to reinvest into other chains.  All of the investors in the acquired company can then cash in their stocks for current value or trade them 2-for-1 for shares of the newer, larger business.  The game is a race to acquire the greatest wealth.&#10;&#10;Some versions of the 3M bookshelf edition included rules for a 2-player variant.&#10;&#10;The original version is part of the 3M Bookshelf Series.&#10;&#10;"
Blink,Action / Dexterity,2,3,"The two-minute-long, two-player card game Blink bills itself as the fastest game in the world. Without taking turns, players race to empty their hands by matching the color, shape, or number of symbols on their cards in hand to the top card of the two discard piles in the center of the table. As soon as a player lays down one card, they can draw another, up to the hand size of three cards. If a player can't play, they can discard one card, then draw another. The first player to empty their hand and draw pile wins.&#10;&#10;The rulebook includes variants for three- and four-player games.&#10;&#10;Blink: Bible Edition is the same game with Christian faith icons.&#10;&#10;"
The Bottle Imp,Card Game,3,4,"In this trick-taking game based on the short story by Robert Louis Stevenson of the same name, the goal is to gain the most points over a series of hands (usually the goal is set to 200 pts). Cards are numbered 1-37 and are found in three colors, red (comprising largely the highest numbers), blue (mostly in the middle) and yellow (mostly the lowest numbers) with colors being analogous to the suit in a standard deck.  There is one neutral card, the 19, that sets the &quot;price of the bottle.&quot;&#10;&#10;The entire deck is dealt to the three or four players in the game and then, similarly to hearts, cards are exchanged and a card is played to the bottle.  As per the usual elements of a trick taking game, players must follow suit if possible with high card taking the trick (regardless of suit).  The unique feature about this game however is how trump is determined.  Any card of value lower than the current price of the bottle (starting with 19) is considered &quot;trump&quot; and will win the trick.  If multiple cards are less than the current bottle price, the card valued closest to the current price (so highest card below the bottle) takes the trick AND THE BOTTLE, the bottle price is adjusted by the player taking the card that represents the current bottle price and replacing it with the card they used to win the trick.  Thus the price of the bottle will decrease with each trump card played, and the bottle is increasingly harder to win/purchase.  Ownership of the bottle will pass from player to player and the number of possible trump cards will decrease both as a factor of cards being played and cards being skipped as the bottle price descends.  One player will be stuck with the bottle at the end of a hand (when players have played all the cards in their hands).&#10;&#10;Cards have point values from 1-6 (not directly based on numerical value), at the end of the hand players will score points for the cards of tricks they've won, except the player who holds the bottle who will score NEGATIVE points for all the cards played to the bottle at the beginning, scoring nothing for the cards they won during the hand.  Play continues until the point goal is reached.&#10;&#10;In the 2003 edition the complete story by R.L. Stevenson http://gaslight.mtroyal.ab.ca/bottlimp.htm is included (in both English &amp; German) and the bottle is a nice wooden piece.  Earlier versions had a stand-up cardboard piece that you cut out.&#10;&#10;"
Wizard,Card Game,3,6,"Originated from Oh Hell! or &quot;Up and Down the River&quot; which are played with a standard deck of 52 cards. With a proprietary 60 card deck comprising a standard deck plus 4 Wizards (high) and 4 Jesters (low). In the first hand 1 card is dealt to each player. In the second 2 and so on. The game is over after the hand in which all cards are dealt.&#10;&#10;Trumps are determined by randomly showing a card from the rest of undealt pack, if the card is a Jester, NoTrump is played in the current round. If it is a wizard, the last player to bid gets to choose the trump, or choose to play NoTrump.&#10;&#10;After examining your cards you state the number of tricks you will win. Each round each player puts down one card. The first Wizard played wins the trick, followed by the highest trump card, followed by the highest card in the suit of the first card played.&#10;&#10;You get 20 points for correctly predicting how many tricks you will win, plus 10 points for each trick won. You lose 10 points for each trick over or under the amount you predicted.&#10;&#10;The game has plenty of luck inherent into it, especially at first (the first few rounds). Later rounds have very little luck, and because scoring increases over time (more cards are being dealt, so bids are higher), the overall game is a very skillful game.&#10;&#10;Good memory, counting, and knowledge of statistics are helpful in this game. &#10;[However, &quot;Wizard is pure fun, challenging, baffling and simply habit forming. Wizard is quickly becoming the most popular card game of the decade,&quot; according to the undated box. So presumably everyone can enjoy it, skilled or not.]&#10;&#10;This game can easily be played with a standard deck with some jesters and extra cards with the same backing, but has been sold in various formats over the years as a special deck with wizards and jesters added.  It differs from the games it originates from in that the typical format was to start at one card dealt and go up to the maximum amount, and then go back down again (in some versions this ordering is reversed and you start dealing the maximum amount down to one card, then back up).  Wizard shortens the game by starting at one card dealt and going up the maximum (which sometimes makes the last round have no trump since if the deck is divisible perfectly by the amount of players, there is no card to flip to determine trump in the last round).&#10;&#10;"
Hare & Tortoise,Animals,2,6,"As the first winner of the Spiel des Jahres award in 1979, Hare and Tortoise or the German Hase und Igel (for Hare and Hedgehog) will always be regarded as a classic game.  It is a cunningly designed race to the finish in which your fuel (carrots) must practically run out (all but 10 carrots or fewer) at the moment you hit the finish line.  You also have three lettuce cards you must spend during the course of the race.  The farther you move, the more carrots you spend, and there are a variety of ways to gain or lose carrots as you go around the track.  It's a very clever exercise in arithmetic which David Parlett has fashioned into an entertaining and unique perennial favorite.&#10;&#10;There have several variations between the multiple prints of Hare &amp; Tortoise by different publishers.  Most variations come from methods of adding randomness that favor lagging player via cards, dice, or dice charts when landing on a Hare square.&#10;&#10;&#10;      Parlett Strategic Variant--The designer's preferred way of playing the Hare square is that &quot;... you can land on them [Hare square], but must miss a turn. This would be the equivalent of the hare taking a nap, as in Aesop's fable. This is the rule I most favour and would prefer it to simply not landing on them at all...&quot;&#10;&#10;&#10;"
